state;function;identificador;(;);{;};:;";";%;se;entao;senao;enquanto;faca;repita;ate;=;numero;caractere;char;int;float;+;-;*;/;^;==;<>;<;>;<=;>=;$;
S;1;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
bloco;null;null;null;null;2;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
declaracoes_variaveis;null;3;null;null;null;null;null;null;null;3;null;null;3;null;3;null;null;null;null;4;4;4;null;null;null;null;null;null;null;null;null;null;null;null;
lista_ids;null;5;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
lista_ids';null;null;null;null;null;null;null;7;6;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
sequencia_comandos;null;9;null;null;null;8;null;null;null;9;null;null;9;null;9;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
comando;null;13;null;null;null;null;null;null;null;10;null;null;12;null;11;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
selecao;null;null;null;null;null;null;null;null;null;14;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
selecao';null;16;null;null;null;null;null;null;null;16;null;15;16;null;16;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
laco_enquanto;null;null;null;null;null;null;null;null;null;null;null;null;17;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
laco_repita;null;null;null;null;null;null;null;null;null;null;null;null;null;null;18;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
atribuicao;null;19;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
condicao;null;20;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;20;20;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
termo;null;21;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22;22;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
expressao;null;23;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;23;23;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
expressao';null;25;null;25;null;null;null;null;null;25;null;null;25;null;25;null;null;null;null;null;null;null;24;24;24;24;24;25;25;25;25;25;25;null;
constante;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;26;27;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
tipo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;28;29;30;null;null;null;null;null;null;null;null;null;null;null;null;
operador_aritmetico;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;31;32;33;34;35;null;null;null;null;null;null;null;
operador_relacional;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;36;37;38;39;40;41;null;
estrutura;null;42;null;null;43;null;null;null;null;42;null;null;42;null;42;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
